STATION, WLATITUDE,WLONGITUDE,WELEV,RAIN_YRS,,,,
St101,32.94,-95.93,141,10,,,,
St102,32.94,-95.62,153,10,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,, 
