1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,16.8,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,36,0,0,-99,0,0,0,0,0,0,0,2.5,0,0
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,8.4,0,0,0,0,0,3.2,0,0,0,0,0,0,0,10.4,0,6.7,0,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,0,0,0,0,0,3.5,0,0
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,0,0,0,0,0,2.5,0,0
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,0,0,2,3.8,0,0,10.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,0,0,0,2.5,0,2.5,0,2
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.5,0,0,0,6.2,0,0,0,0,0,0,0,0,0,0,-99,0,0,0,0,0,0.8,0,6.5,0,0
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.5,0,0,0,28.1,0,0,0,0,0,0,0,0,0,0,-99,0,0,0,0,0,0,0,5.5,0,0
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.5,0,0,0,43.2,0,0,0,0,0,8.4,0,0,0,0,-99,0,0,0,0,0,0,0,1.5,0,3.5
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,4.2,0,3,0,40.3,0,0,0,0,0,0,0,0,-99,0,0,0,0,0,0,0,10.5,0,0
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.3,0,0,0,0,0,0,0,0,-99,0,0,0,0,0,0,0,3,0,0
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,0,0,0,0,0,4.5,0,0
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,5.2,0,0,0,0,0,0,0,0,0,1.9,7.2,0,0,0,23.6,0,6.5,0,0,0,0,0,9,0,0,0,-99,0,0,0,0,0,0,0,0,0,0
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,77.6,0,0,0,0,0,0,0,0,0,0,0,0,15.5,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,-99,0,0,0,0.9,0.5,0,0,0,0,0
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,7.5,0,0,0,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,14,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,8.3,0,0,6.2,0,0,0,0,0,0,0,6,0,-99,0,0,0,1.3,1.3,0,0,3.5,0,0
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,26.8,0,0,0,0,14.2,0,0,0,0,0,0,0,0,0,20.5,0,11.5,0,0,0,0,0,30.5,0,-99,0,0,0,0,0,0,0,0,0,0
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,2.4,0,0,0,1,0,0,0,0,0,0,0,17.9,0,0,0,0,0,8.2,0,0,21.1,0,0,0,0,0,0,0,-99,0,0,0,3.4,3.4,0,0,4.5,0,0
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,-99,0,0,0,10.2,10.2,0,0,3.5,0,0
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,-99,0,0,0,0,0,0,0,4.5,0,0
