1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,37.2,0,0,0,0,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,6.8,0,0,0,0,25.8,0,0,0,0,0,4.6,0,0,0,0,0,0,0,0,0,27.6,0,0,0,0,0,0,0,0,0,0,4.3,0,-99
-99,-99,-99,-99,-99,-99,-99,-99,4.8,0,0,0,6.2,0,0,0,2.3,0,0,0,0,-99,0,0,0,0,22.8,0,0,0,0,9.4,0,0,0,0,0,0,0,0,8.6,0,6,0,0,0,0,2,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,-99
-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,21,0,0,0,2.4,0,0,0,0,-99,0,0,0,0,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,4.8,0,0,0,1,0,0,0,-99
-99,-99,-99,-99,-99,-99,-99,-99,0,0,10.4,0,0,0,0,0,3.7,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,14.2,0,0,4.6,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99
-99,-99,-99,-99,-99,-99,-99,-99,0,0,5.1,0,0,0,0,0,0,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0.4,0,0,0,6.7,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99
-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,7.2,0,0,3.4,0,0,0,3.9,5.5,0,0,0,22.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99
-99,-99,-99,-99,-99,-99,-99,-99,8.9,0,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.2,0,3.8,0,14,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,-99
-99,-99,-99,-99,-99,-99,-99,-99,19.8,0,0,0,0,0,0,0.2,0,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.2,0,0.6,0,7.8,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,0,-99
-99,-99,-99,-99,-99,-99,-99,-99,45.7,0,0,0,0,0,0,3.9,0,0,0,0,0,-99,0,0,0,0,11.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,8.6,0,0,0,0,0,0,0,0,3.4,0,0,0,3,0,-99
-99,-99,-99,-99,-99,-99,-99,-99,0.3,0,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,0.1,0,1.4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,-99
-99,-99,-99,-99,-99,-99,-99,-99,3.8,0,0,0,0,0,0,11.5,0,0,0,0,0,-99,0,0,17.8,0,0.6,0,0,0,0,0,0,0,0,0,0,0,7.2,4,0,0,0,26.2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99
-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,0,0,0.2,0,0.4,0,0,0,1.5,0,0,0,0,0,0,17,0,0,0,0,0,8.4,0,0,0,0,0,16.2,0,0,0,0,0,0,0,0,0,0,0,0,0,-99
-99,-99,-99,-99,-99,-99,-99,-99,11.7,0,0,24.3,0,0,0,0,0,0,0,0,0,-99,0,0,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,17.7,0,0,0,0,0,0,1,9.4,0,0,0,2.7,0,0,0,0,0,0,0,0,0,7.2,0,0,0,-99
-99,-99,-99,-99,-99,-99,-99,-99,1.1,4.3,0,0,0,0,4.2,0,0,0,0,0,0,-99,0,0,0,33.4,0,0,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.5,3,4.2,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,-99
-99,-99,-99,-99,-99,-99,-99,-99,0,1.8,0,0,0,0,23,0,0,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6,0,0,0,0,0,0,0,0,0,18,2.6,24,0,0,0,0,0,30.3,0,0,0.6,0,0,0,0,0,11.8,2.4,0,-99
